nombre,poblacion,superficie,continente
argentina,45376763,2780400,america
japón,125800000,377975,asia
brasil,213993437,8515767,america
alemania,83149300,357022,europa
china,1444216107,9596961,asia
estados unidos,331002651,9833520,america
india,1380004385,3287263,asia
rusia,145934462,17098246,europa
francia,65273511,551695,europa
reino unido,67886011,242495,europa
canadá,37742154,9984670,america
australia,25499884,7692024,oceania
nigeria,206139589,923768,africa
egipto,102334404,1002450,africa
sudafrica,59308690,1221037,africa
méxico,128932753,1972550,america
indonesia,273523615,1904569,asia
italia,60483973,301340,europa
españa,46754778,505990,europa
nueva zelanda,4822233,268021,oceania
angola,5,5,africa
